contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity,Spot
SPXW260331C05760000,2025-12-30 17:11:10+00:00,5760.0,1202.29,1216.3,1223.0,0.0,0.0,,2,0.5482451792144778,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C05920000,2025-08-12 17:55:37+00:00,5920.0,782.8,908.6,947.8,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C05925000,2025-12-30 15:36:06+00:00,5925.0,1041.5,1057.4,1064.9,0.0,0.0,2.0,125,0.5011455830764772,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C05930000,2025-08-04 13:30:05+00:00,5930.0,657.99,900.0,939.3,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C05960000,2025-08-08 14:15:15+00:00,5960.0,704.7,875.1,914.2,0.0,0.0,6.0,4,1.0000000000000003e-05,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C05980000,2025-10-20 14:36:22+00:00,5980.0,927.25,924.7,933.4,0.0,0.0,2.0,2,0.2451552536010742,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06020000,2026-01-08 20:46:08+00:00,6020.0,968.24,882.9,892.6,0.0,0.0,2.0,2,0.2282181671142578,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06050000,2025-12-30 19:30:35+00:00,6050.0,933.8,940.2,946.3,0.0,0.0,11.0,281,0.4743933786773682,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06070000,2025-07-30 17:24:58+00:00,6070.0,636.42,781.2,821.3,0.0,0.0,,23,1.0000000000000003e-05,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06090000,2025-12-30 17:02:07+00:00,6090.0,891.31,900.4,906.5,0.0,0.0,1.0,23,0.45922247936248783,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06125000,2025-12-30 19:07:48+00:00,6125.0,862.0,869.3,875.5,0.0,0.0,7.0,134,0.45322202056884764,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06130000,2025-11-28 14:49:46+00:00,6130.0,842.3,886.8,893.3,0.0,0.0,3.0,4,0.4930356177902222,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06140000,2025-10-27 19:30:56+00:00,6140.0,902.59,818.2,840.9,0.0,0.0,2.0,4,0.40903682399749747,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06150000,2026-01-09 17:18:56+00:00,6150.0,883.23,761.8,768.2,0.0,0.0,5.0,147,0.23354343124389648,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06160000,2026-01-02 16:00:38+00:00,6160.0,766.23,817.0,841.0,0.0,0.0,1.0,3,0.44036661933898924,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06165000,2026-01-02 16:00:38+00:00,6165.0,761.68,812.3,836.3,0.0,0.0,1.0,1,0.4389513808059693,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06175000,2025-12-26 09:58:00+00:00,6175.0,849.15,821.2,828.6,0.0,0.0,12.0,151,0.4392374802398682,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06190000,2025-08-12 17:55:37+00:00,6190.0,567.85,683.3,721.0,0.0,0.0,,1,0.1724936267089844,True,REGULAR,USD,0.08487337440109514,6908.85986328125
